message_id,action,message_type,reason,confidence,evidence_message_ids
msg_004,digest,business_update,"This is a health-related update that the user has engaged with before, but it doesn't require immediate attention.",0.85,message_0245;message_0005;message_0064;message_0063
msg_030,mute,spam,"The message is a repeat of past promotions for items that the user has previously dismissed, indicating low interest.",0.85,message_0115;message_0335;message_0050
msg_045,notify,urgent,The message is time-sensitive regarding a delivery and requires immediate confirmation.,0.9,message_0146;message_0145
msg_052,mute,spam,"This message is part of a history of spammy content from a suspicious source, and the user has previously reported similar messages.",0.9,message_0208;message_0207;message_0159;message_0160
msg_009,mute,unknown,"The message is casual and part of a group chat about sports, and the user has already muted the group. It's not urgent or important enough to interrupt.",0.85,message_0074;message_0073
msg_071,digest,event,The message is about a potential meeting without urgency. It's safe to read later.,0.85,message_0197;message_0198
msg_016,mute,spam,The message is likely a scam alerting about an account block and is similar to previous messages that the user reported and muted.,0.9,message_0024;message_0087;message_0183;message_0201;message_0184
msg_065,digest,promotion,"This message is a promotional offer from Target, which aligns with past messages, but it is not urgent enough to interrupt immediately. User has shown some interest in such promotions without replying directly.",0.85,message_0261;message_0185;message_0186
msg_038,mute,spam,Muted because the message shows mass_forward_signal.,0.85,message_0131;message_0132
msg_086,notify,urgent,"This message informs you of an important schedule change for your airport pickup tomorrow, which needs your timely attention.",0.85,message_0222
msg_014,mute,spam,The user has opted out of promotions from this business and has repeatedly dismissed similar messages from them.,0.9,message_0017;message_0258;message_0018;message_0084;message_0083
msg_094,digest,promotion,"This message is a promotional offer from Nykaa and is not urgent, so it can wait until later.",0.85,none
msg_029,digest,promotion,"The message is about selling clothing in a marketplace group, which is not urgent and can wait for later review. The user has engaged with similar messages before but does not need immediate notification.",0.85,message_0332;message_0113;message_0401
msg_105,mute,spam,The message is a forwarded health tip that has been dismissed in the past. It sounds similar to previously ignored content.,0.85,message_0233;message_0373
msg_002,notify,urgent,The message is about a time-sensitive client meeting and requires immediate attention for clarification on a specific refund issue.,0.92,message_0169;message_0003;message_0059
msg_010,digest,promotion,"The message is a request for feedback, similar to previous messages the user has received and engaged with, but it's not urgent enough to interrupt immediately.",0.85,message_0011;message_0242;message_0075
msg_078,mute,spam,"The message requests sensitive information in a suspicious context, similar to previously reported spam.",0.85,message_0211;message_0212
msg_013,mute,promotion,This message offers a discount on a recliner but is likely a sales promotion that is not urgent or important to you.,0.85,message_0081;message_0082
msg_018,mute,spam,This message is similar to previous spam messages that were reported and dismissed.,0.95,message_0092;message_0091;message_0026
msg_044,mute,scam,Muted because the message shows sensitive_code_request.,0.9,message_0143;message_0144
msg_032,digest,event,"The request is not urgent and can be addressed later without immediate interruption. The user may find it useful, but it does not require immediate attention.",0.85,message_0119;message_0285
msg_106,notify,event,The message is important for attending dance practice and contains specific time-sensitive information about entry to the venue.,0.85,message_0234;message_0376
msg_006,digest,event,"This message contains important information about maintenance but does not require immediate action right now, so it can wait for a summary later.",0.85,message_0029;message_0044;message_0067
msg_109,mute,spam,"This is a recurring payment reminder with urgency but the user previously dismissed similar messages and reported them, indicating they find this content unwanted.",0.85,message_0151;message_0152;message_0237
msg_108,mute,spam,"The message solicits sensitive information through a suspicious link, similar to previous spam messages, and the user has reported similar messages before.",0.85,message_0094;message_0093;message_0236
msg_019,mute,spam,"This is a suspicious message from a business with a high report rate in previous interactions, indicating it could be a scam.",0.85,message_0094;message_0093;message_0236
msg_088,mute,unknown,"The message is a voice note about a previously offered item but is not urgent, and the user has been dismissing similar messages in this group.",0.85,message_0224;message_0115;message_0050
msg_056,notify,urgent,"The message is about a doctor appointment change, which requires a timely response to confirm availability.",0.9,message_0168
msg_027,digest,promotion,The message is a promotional offer from a trusted business the user has engaged with before. It's useful but doesn't require immediate attention.,0.8,message_0272;message_0033;message_0007
msg_050,digest,business_update,"The health-related update is useful but not urgent enough to interrupt immediately, and the user has shown interest in similar messages before.",0.85,message_0279;message_0155;message_0156
msg_083,digest,business_update,"The voice message is a request for feedback on a document that is not urgent, and there's a previous similar context where the user took time to respond.",0.8,message_0219
msg_063,mute,scam,Muted because the message shows urgent_payment_pressure.,0.95,message_0182;message_0181
msg_033,digest,greeting,"The message is a friendly greeting with no urgency, and the sender is a family member who often checks in. It's not important enough to interrupt immediately.",0.87,message_0121;message_0122
msg_061,mute,spam,"This message resembles previous spammy content, encouraging chain sharing and lacks personal relevance.",0.9,message_0193;message_0177;message_0042;message_0194;message_0178
msg_020,mute,spam,"The message contains a suspicious link and appears to be a generic prompt to complete an account check, fitting spam criteria. The user has previously ignored similar messages from this sender.",0.85,message_0095;message_0096
msg_017,mute,spam,The message is likely a scam based on previous reports and dismissals of similar messages in the group.,0.9,message_0090;message_0089
msg_058,mute,spam,This message is a repetitive health tip from a known sender and similar to previous messages that were dismissed. It is forwarded many times and doesn't warrant immediate attention.,0.85,message_0078;message_0172;message_0241;message_0040
msg_026,mute,spam,"This message appears to be a scam based on past interactions with similar content from the same sender, which were reported and dismissed.",0.95,message_0032;message_0107;message_0108
msg_047,digest,event,"This message provides information about lift maintenance, which is useful but not urgent enough to interrupt immediately. Similar messages have been well received in the past.",0.85,message_0150;message_0149;message_0130;message_0129;message_0190
msg_046,mute,scam,Muted because the message shows sensitive_code_request.,0.95,message_0148;message_0147
msg_042,notify,urgent,"This is an important security alert about the main gate closing soon, requiring immediate action to avoid towing.",0.9,message_0140;message_0058
msg_079,mute,scam,"The message urgently asks for an OTP, which raises security concerns and has similarities to previous scam messages reported in this group.",0.9,message_0213;message_0053;message_0173
msg_098,notify,urgent,"The message is time-sensitive regarding a medical appointment decision, which requires immediate attention and a call back.",0.87,message_0226;message_0359
msg_037,notify,urgent,"The message indicates a time-sensitive request to fetch a bucket because water is arriving soon, which requires immediate attention.",0.85,message_0269;message_0129;message_0130
msg_007,digest,event,"The potluck registration is useful information but not urgent, and the sender requested no immediate response. It can wait to be read later.",0.85,none
msg_085,mute,scam,"Muted because the message shows sensitive_code_request, account_blocking_pressure, domain_mismatch, recent_user_reports.",0.95,message_0221
msg_001,notify,urgent,The message is time-sensitive and requires immediate attention to fill drinking water before the tanker leaves in 20 mins.,0.9,message_0057;message_0240;message_0058
msg_021,notify,payment,This message is about a payment due today with a clear deadline of 5 PM. It requires immediate attention to avoid potential issues.,0.85,message_0130;message_0190;message_0129
msg_028,mute,spam,The user has previously opted out of promotions from this business and repeatedly dismissed similar messages without engagement.,0.9,message_0034;message_0112;message_0111
msg_012,mute,spam,"This message is a forwarded health tip similar to previous messages that were dismissed or muted, suggesting it's unwelcome content.",0.85,message_0247;message_0079;message_0080;message_0194;message_0193
msg_064,digest,payment,The message concerns a refund process but lacks urgency and could be safely viewed later.,0.75,message_0087;message_0183;message_0201
msg_103,notify,urgent,"The message is time-sensitive, asking the user to collect an item by 6 PM. It's important for the user to respond to confirm if they can pick it up, especially since others are also interested.",0.85,message_0382;message_0231
msg_031,notify,urgent,"This message is about an important meeting and requires immediate attention to prepare action items. Given the user's role as an admin, it needs prompt notice before the meeting.",0.85,message_0249;message_0118;message_0117
msg_057,notify,urgent,The message is time-sensitive and requires your immediate attention to address a failed build before updating the client thread.,0.9,message_0169;message_0059;message_0003
msg_087,mute,spam,"The voice message promotes real estate offers, similar to past messages that were muted and dismissed by the user, indicating a low interest in this type of content.",0.9,message_0391;message_0204;message_0203;message_0223;message_0358
msg_067,notify,urgent,"The message outlines a time-sensitive maintenance payment deadline and potential late fees, which requires immediate attention and action.",0.9,message_0068;message_0029;message_0067
msg_039,notify,urgent,"The message requests an immediate action regarding a school payment confirmation that impacts the field-trip list, making it time-sensitive.",0.9,message_0037;message_0051;message_0255
msg_082,notify,urgent,"This voice message alerts about a critical checkout error affecting live users, similar to past messages that prompted immediate response.",0.9,message_0218
msg_066,mute,promotion,The user has previously dismissed similar promotional messages from this business and has opted out of promotions. This message is likely unwanted.,0.85,message_0188;message_0187
msg_049,digest,event,"This message is a reminder for a return pickup, which is useful but not urgent enough to interrupt immediately. The user has interacted with similar messages in the past, indicating it's a routine matter.",0.85,message_0154;message_0291;message_0153
msg_015,mute,scam,Muted because the message shows sensitive_code_request.,0.9,message_0085;message_0045
msg_051,mute,spam,"The message is a promotion that the user has previously dismissed multiple times and has opted out of promotions, indicating a lack of interest.",0.9,message_0257;message_0103;message_0104;message_0157;message_0158
msg_097,digest,personal,The message indicates that there is nothing urgent and the sender suggests talking tomorrow. It can wait to be read later.,0.85,message_0359;message_0226;message_0054
msg_089,notify,urgent,This message is time-sensitive regarding an item you left and needs a prompt response due to the 7 PM deadline.,0.9,none
msg_053,digest,business_update,"The message contains valuable investment insights that can wait until later, as it's not urgent and relates to the user's interests in the stock market.",0.85,message_0411;message_0253;message_0161
msg_059,mute,spam,"The message is asking for sensitive information in a suspicious manner, which is similar to previously reported spam messages in this group.",0.9,message_0053;message_0214;message_0213
msg_024,mute,promotion,User has a history of dismissing similar promotional messages from this business and opted out of promotions recently.,0.9,message_0257;message_0103;message_0104;message_0157;message_0158
msg_072,mute,scam,Muted because the message shows sensitive_code_request.,0.9,message_0085;message_0199;message_0086;message_0213
msg_036,mute,scam,"This message is a repeat scam about payout verification, similar to previous messages that the user has reported and dismissed.",0.95,message_0283;message_0127;message_0128
msg_076,mute,spam,"The content resembles previous messages that were reported as spam, and the user has muted similar messages in the past.",0.95,message_0208;message_0207;message_0159;message_0160
msg_055,notify,urgent,"The message indicates an urgent need to call due to a time-sensitive decision required within ten minutes, and the sender is someone the user has engaged with positively before.",0.85,message_0166
msg_102,notify,urgent,"This message is a continuation of a critical process that the user previously engaged with, and it requires attention quickly.",0.95,message_0371;message_0230
msg_080,notify,urgent,"The message indicates an urgent need to move a car within 10 minutes to avoid potential issues with security, matching historical messages that the user has engaged with actively.",0.95,message_0130;message_0190;message_0142;message_0180;message_0216
msg_093,digest,event,"The message informs about a scheduled delivery from FedEx, which is relevant but not urgent enough to interrupt immediately.",0.85,none
msg_034,mute,unknown,"The message is a repetitive greeting with no urgent content, and the user has previously muted similar messages from this sender.",0.9,message_0013;message_0077;message_0171;message_0014
msg_035,digest,promotion,"The message promotes a service from RazorpayX, which the user has previously shown interest in, but it is not urgent and can wait for review later.",0.85,message_0281;message_0125
msg_101,digest,personal,"The message is friendly and offers food, but it doesn't require immediate attention and can wait.",0.85,message_0370;message_0229;message_0268
msg_041,digest,business_update,"The message is a survey request from a known business and has low urgency, making it suitable for later review.",0.85,message_0138;message_0137
msg_011,mute,spam,Muted because the message shows mass_forward_signal.,0.9,message_0077;message_0171;message_0014;message_0123;message_0241
msg_110,mute,scam,Muted because the message shows sensitive_code_request.,0.9,message_0238;message_0381
msg_095,mute,scam,"The message contains a suspicious link and suggests confirming a wallet PIN, which indicates a potential scam.",0.95,none
msg_074,mute,spam,"The message is a promotional offer that the user has previously dismissed, muted, and reported. It fits the pattern of spam content related to real estate promotions.",0.9,message_0204;message_0203;message_0358;message_0223;message_0164
msg_073,mute,scam,"The message has a similar pattern to previously reported and dismissed scam messages regarding account security, and it urges immediate action through a suspicious link.",0.9,message_0087;message_0184;message_0088;message_0183;message_0202
msg_054,mute,spam,This message is similar to previous messages that were identified as scams. User has reported or dismissed similar content multiple times.,0.9,message_0163;message_0164;message_0203;message_0204
msg_068,digest,event,"The message discusses planning for a match without urgency, and it aligns with past similar messages. It can wait for your attention.",0.85,message_0191;message_0192
msg_100,notify,urgent,The message is time-sensitive and requires immediate attention due to the potential client escalation in 20 minutes.,0.95,message_0362;message_0228
msg_062,digest,event,"This is a scheduled fire alarm test notification that is informative, but doesn't require immediate action or interruption.",0.85,message_0043
msg_096,notify,urgent,The message is about a found passport and requires timely action before a deadline.,0.9,none
msg_043,notify,urgent,"The message indicates the need for immediate action to collect supplies before the tanker leaves, and it comes from a reliable admin source in a group where the user has previously engaged well.",0.9,message_0130;message_0129;message_0067
msg_077,notify,urgent,This is an important school circular for tomorrow's field trip requiring timely action (consent form and ID card) and the bus list closes this evening.,0.9,message_0403;message_0051;message_0037
msg_081,notify,event,"This voice message contains important information about a change in the school pickup location, which is time-sensitive.",0.85,message_0217
msg_025,digest,business_update,"The message contains an update about an order, which is useful but not urgent enough to interrupt the user immediately, especially since they have acknowledged similar messages before.",0.85,message_0239;message_0004;message_0105
msg_084,mute,promotion,"The message is a promotional offer from HDFC Bank, which the user has opted out of previously and has dismissed similar content.",0.85,message_0220
msg_022,mute,spam,The user has previously dismissed or muted similar payment messages from this group indicating they're unwanted or suspicious.,0.9,message_0099;message_0100;message_0151;message_0152
